year,ranking
2022,"French Bulldog, Labrador Retriever, Golden Retriever, German Shepherd Dog, Poodle"
2021,"Labrador Retriever, French Bulldog, Golden Retriever, German Shepherd Dog, Poodle"
2020,"Labrador Retriever, French Bulldog, German Shepherd Dog, Golden Retriever, Bulldog"
2019,"Labrador Retriever, German Shepherd Dog, Golden Retriever, French Bulldog, Bulldog"
2018,"Labrador Retriever, German Shepherd Dog, Golden Retriever, French Bulldog, Bulldog"
2017,"Labrador Retriever, German Shepherd Dog, Golden Retriever, French Bulldog, Bulldog"
2016,"Labrador Retriever, German Shepherd Dog, Golden Retriever, Bulldog, Beagle"
